brand,processor_brand,processor_name,ram_,ssd,hdd,weight,latest_price
Lenovo,Intel,Core i5,8,512,0,Casual,77990
ASUS,Intel,Core i5,8,512,0,Casual,105990
MSI,Intel,Core i5,8,512,0,Casual,79990
DELL,Intel,Core i5,8,512,0,ThinNlight,55490
Lenovo,Intel,Core i5,8,512,0,ThinNlight,69990
ASUS,Intel,Core i5,8,512,0,Casual,84990
DELL,Intel,Core i5,8,512,0,ThinNlight,59990
DELL,Intel,Core i5,8,512,0,ThinNlight,111890
DELL,Intel,Core i5,8,512,0,Casual,65990
ASUS,Intel,Core i5,8,512,0,Casual,72990
DELL,Intel,Core i5,8,512,0,ThinNlight,71090
MSI,Intel,Core i5,8,512,0,Casual,74990
ASUS,Intel,Core i5,8,512,0,Casual,79990
MSI,Intel,Core i5,8,512,0,Casual,55490
DELL,Intel,Core i5,8,512,0,ThinNlight,66490
ASUS,Intel,Core i5,8,512,0,Casual,53400
DELL,Intel,Core i5,8,512,0,Casual,74500
DELL,Intel,Core i5,8,512,0,ThinNlight,114990
DELL,Intel,Core i5,8,512,0,ThinNlight,61990
APPLE,Intel,Core i5,8,512,0,Casual,159990
APPLE,Intel,Core i5,8,512,0,Casual,172090
MSI,Intel,Core i5,8,512,0,Casual,74990
MSI,Intel,Core i5,8,512,0,Casual,56490
Lenovo,Intel,Core i5,8,512,0,ThinNlight,147000
Lenovo,Intel,Core i5,8,512,0,ThinNlight,55990
HP,Intel,Core i5,8,512,0,Gaming,77990
HP,Intel,Core i5,8,512,0,Casual,106490
Lenovo,Intel,Core i5,8,512,0,Casual,70990
Lenovo,Intel,Core i5,8,512,0,Casual,64990
acer,Intel,Core i5,8,512,0,Casual,57990
ASUS,Intel,Core i5,8,512,0,Gaming,64990
MSI,Intel,Core i5,8,512,0,Casual,54990
Vaio,Intel,Core i5,8,512,0,ThinNlight,62890
HP,Intel,Core i5,8,512,0,Casual,111999
Lenovo,Intel,Core i5,8,512,0,Casual,70798
Lenovo,Intel,Core i5,8,512,0,Casual,59990
acer,Intel,Core i5,8,512,0,Casual,99500
HP,Intel,Core i5,8,512,0,ThinNlight,55990
ASUS,Intel,Core i5,8,512,0,ThinNlight,72990
acer,Intel,Core i5,8,512,0,ThinNlight,64990
ASUS,Intel,Core i5,8,512,0,ThinNlight,57990
HP,Intel,Core i5,8,512,0,Casual,76990
Lenovo,Intel,Core i5,8,512,0,Casual,62998
DELL,Intel,Core i5,8,512,0,Casual,77990
HP,Intel,Core i5,8,512,0,Casual,114990
DELL,Intel,Core i5,8,512,0,Casual,65990
DELL,Intel,Core i5,8,512,0,Casual,88990
Lenovo,Intel,Core i5,8,512,0,Casual,113590
Mi,Intel,Core i5,8,512,0,Casual,54990
ASUS,Intel,Core i5,8,512,0,Casual,73990
LG,Intel,Core i5,8,512,0,ThinNlight,86990
HP,Intel,Core i5,8,512,0,ThinNlight,61000
ASUS,Intel,Core i5,8,512,0,Casual,99990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,67990
DELL,Intel,Core i5,8,512,0,Casual,70799
Lenovo,Intel,Core i5,8,512,0,ThinNlight,65990
ASUS,Intel,Core i5,8,512,0,ThinNlight,53690
MSI,Intel,Core i5,8,512,0,ThinNlight,55990
ASUS,Intel,Core i5,8,512,0,Casual,53190
Lenovo,Intel,Core i5,8,512,0,Casual,58999
DELL,Intel,Core i5,8,512,0,ThinNlight,71990
HP,Intel,Core i5,8,512,0,Casual,82000
ASUS,Intel,Core i5,8,512,0,ThinNlight,84990
Lenovo,Intel,Core i5,8,512,0,Casual,89998
ASUS,Intel,Core i5,8,512,0,Casual,99990
ASUS,Intel,Core i5,8,512,0,ThinNlight,84990
Lenovo,Intel,Core i5,8,512,0,Gaming,69899
DELL,Intel,Core i5,8,512,0,Casual,79990
DELL,Intel,Core i5,8,512,0,Casual,76300
Lenovo,Intel,Core i5,8,512,0,Casual,55999
DELL,Intel,Core i5,8,512,0,ThinNlight,72900
DELL,Intel,Core i5,8,512,0,Casual,73990
ASUS,Intel,Core i5,8,512,0,ThinNlight,84990
DELL,Intel,Core i5,8,512,0,Casual,73519
HP,Intel,Core i5,8,512,0,Casual,126000
lenovo,Intel,Core i5,8,0,512,Casual,171998
ASUS,Intel,Core i5,8,512,0,Casual,88990
HP,Intel,Core i5,8,512,0,ThinNlight,114999
DELL,Intel,Core i5,8,512,0,Casual,82990
acer,Intel,Core i5,8,512,0,ThinNlight,109999
Lenovo,Intel,Core i5,8,512,0,ThinNlight,82990
DELL,Intel,Core i5,8,512,0,Casual,79990
ASUS,Intel,Core i5,8,512,0,Casual,114990
HP,Intel,Core i5,8,512,0,Casual,129999
MSI,Intel,Core i5,8,512,0,Casual,149990
DELL,Intel,Core i5,8,512,0,Casual,71290
DELL,Intel,Core i5,8,512,0,ThinNlight,79500
DELL,Intel,Core i5,8,512,0,Casual,82990
DELL,Intel,Core i5,8,512,0,Casual,70980
ASUS,Intel,Core i5,8,512,0,Casual,99990
HP,Intel,Core i5,8,512,0,Casual,94000
DELL,Intel,Core i5,8,512,0,Casual,82990
MSI,Intel,Core i5,8,512,0,Casual,79990
ASUS,Intel,Core i5,8,512,0,ThinNlight,85990
ASUS,Intel,Core i5,8,512,0,Casual,86990
ASUS,Intel,Core i5,8,512,0,Casual,105990
ASUS,Intel,Core i5,8,512,0,Casual,84990
Lenovo,Intel,Core i5,8,512,0,Casual,59999
Lenovo,Intel,Core i5,8,512,0,Casual,91999
DELL,Intel,Core i5,8,512,0,Casual,78900
ASUS,Intel,Core i5,8,512,0,Casual,132790
Nokia,Intel,Core i5,16,512,0,ThinNlight,55990
Lenovo,Intel,Core i5,8,512,0,Gaming,60990
Avita,Intel,Core i5,8,512,0,ThinNlight,65556
DELL,Intel,Core i5,16,512,0,ThinNlight,70190
DELL,Intel,Core i5,8,512,0,Casual,79590
Avita,Intel,Core i5,8,512,0,ThinNlight,65556
ASUS,Intel,Core i5,8,512,0,Casual,76990
Nokia,Intel,Core i5,8,512,0,ThinNlight,52790
Avita,Intel,Core i5,8,512,0,ThinNlight,65556
Avita,Intel,Core i5,8,512,0,ThinNlight,44990
ASUS,Intel,Core i5,8,512,0,Casual,84990
Lenovo,Intel,Core i5,8,512,0,Casual,86999
HP,Intel,Core i5,16,512,0,Casual,78000
Avita,Intel,Core i5,8,512,0,ThinNlight,73063
Avita,Intel,Core i5,8,512,0,ThinNlight,73063
HP,Intel,Core i5,16,512,0,Casual,100990
Lenovo,Intel,Core i5,8,512,0,ThinNlight,74990
ASUS,Intel,Core i5,8,512,0,Casual,75990
Lenovo,Intel,Core i5,8,512,0,Casual,84086
ASUS,Intel,Core i5,8,1024,0,Gaming,75990
ASUS,Intel,Core i5,8,1024,0,Gaming,77990
ASUS,Intel,Core i5,8,1024,0,Casual,77990
APPLE,Intel,Core i5,16,1024,0,Casual,179990
APPLE,Intel,Core i5,16,1024,0,Casual,179990
ASUS,Intel,Core i5,8,1024,0,Casual,82990
ASUS,Intel,Core i5,8,1024,0,Casual,87990
